Coin^^uri,nmo:hasFindspot^^uri,nmo:hasMaterial^^uri,nmo:hasMint^^uri,nmo:hasDenomination^^uri,nmo:hasStartDate^^xsd:gYear,nmo:hasEndDate^^xsd:gYear,nmo:hasMintMark,nmo:hasCountermark,nmo:hasWeight,nmo:hasMinDiameter,nmo:hasMaxDiameter,nmo:hasDie^^id**1,1__nmo:hasAxis,nmo:hasObverse^^id**2,nmo:hasReverse^^id**3,2__nmo:hasContext,3__nmo:hasContext,2__nmo:hasWear,3__nmo:hasWear,2__nmo:hasCorrosion,3__nmo:hasCorrosion,2__nmo:hasLegend,3__nmo:hasLegend
afe:3237,gaz:2117972,nm:ar,nm:rome,nm:denarius,63,68,,,3.03,,,,,,,,,,,,,,
afe:3238,gaz:2117972,nm:ar,nm:rome,nm:denarius,68,69,,,2.91,,,,,,,,,,,,,,
afe:3239,gaz:2117972,nm:ar,nm:rome,nm:denarius,69,69,,,2.93,,,,,,,,,,,,,,
afe:3240,gaz:2117972,nm:ar,nm:rome,nm:denarius,69,69,,,3.29,,,,,,,,,,,,,,
afe:3241,gaz:2117972,nm:ar,nm:rome,nm:denarius,70,70,,,3.08,,,,,,,,,,,,,,
afe:3242,gaz:2117972,nm:ar,nm:rome,nm:denarius,69,71,,,2.58,,,,,,,,,,,,,,
afe:3243,gaz:2117972,nm:ar,nm:rome,nm:denarius,69,71,,,2.55,,,,,,,,,,,,,,
afe:3244,gaz:2117972,nm:ar,nm:rome,nm:denarius,69,71,,,3.18,,,,,,,,,,,,,,
afe:3245,gaz:2117972,nm:ar,nm:rome,nm:denarius,73,73,,,3.19,,,,,,,,,,,,,,
afe:3246,gaz:2117972,nm:ar,nm:rome,nm:denarius,73,73,,,3.18,,,,,,,,,,,,,,
afe:3247,gaz:2117972,nm:ar,nm:rome,nm:denarius,73,73,,,3.06,,,,,,,,,,,,,,
afe:3248,gaz:2117972,nm:ar,nm:rome,nm:denarius,73,73,,,2.69,,,,,,,,,,,,,,
afe:3250,,,,,-28,14,,,,,,,,,,,,,,,,,
afe:3251,,nm:ar,nm:rome,nm:denarius,69,73,,,2.87,,,,,,,,,,,,,,
afe:3252,,nm:ar,,nm:denarius,69,73,,,,,,,,,,,,,,,,,
afe:3253,,nm:ar,nm:rome,nm:denarius,71,71,,,2.61,,,,,,,,,,,,,,
afe:3254,,nm:ar,nm:rome,nm:denarius,73,73,,,2.86,,,,,,,,,,,,,,
afe:3255,,nm:ar,nm:rome,nm:denarius,73,73,,,2.67,,,,,,,,,,,,,,
afe:3256,,nm:ar,nm:rome,nm:denarius,74,74,,,2.66,,,,,,,,,,,,,,
afe:3257,,nm:ar,nm:rome,nm:denarius,75,75,,,3.19,,,,,,,,,,,,,,
afe:3258,,nm:ar,nm:rome,nm:denarius,76,76,,,2.66,,,,,,,,,,,,,,
afe:3259,,nm:ar,nm:rome,nm:denarius,76,76,,,1.78,,,,,1,1,,"Adler, Kopf n. l.",,,,,,
afe:3260,,nm:ar,nm:rome,nm:denarius,77,78,,,3.08,,,,,,,,,,,,,,
afe:3261,,nm:ar,,nm:denarius,69,79,,,2.66,,,,,,,,,,,,,,
afe:3262,,nm:ar,,nm:denarius,69,79,,,,,,,,,,,,,,,,,
afe:3263,,nm:ar,nm:rome,nm:denarius,77,78,,,2.87,,,,,,,,,,,,,,
afe:3264,,nm:ar,nm:rome,nm:denarius,77,78,,,2.79,,,,,,,,,,,,,,
afe:3265,,nm:ar,nm:rome,nm:denarius,79,79,,,1.92,,,,,,,,,,,,,,
afe:3266,,nm:ar,nm:rome,nm:denarius,92,93,,,2.8,,,,,,,,,,,,,,
afe:3267,,nm:ar,nm:rome,nm:denarius,92,93,,,2.75,,,,,,,,,,,,,,
afe:3268,,nm:ar,nm:rome,nm:denarius,103,111,,,2.63,,,,,,,,,,,,,,
afe:3269,,nm:ar,nm:rome,nm:denarius,103,111,,,,,,,,,,,,,,,,,
afe:3270,,nm:ar,,nm:denarius,112,117,,,,,,,,,,,,,,,,,
afe:3271,,nm:ar,nm:rome,nm:denarius,114,117,,,2.9,,,,,,,,,,,,,,
afe:3272,,nm:ar,nm:rome,nm:denarius,118,118,,,3.04,,,,,,,,,,,,,,
afe:3273,,nm:ar,nm:rome,nm:denarius,119,122,,,,,,,,,,,,,,,,,
afe:3274,,nm:ar,nm:rome,nm:denarius,119,122,,,2.56,,,,,,,,,,,,,,
afe:3275,,nm:ar,nm:rome,nm:denarius,128,132,,,,,,,,,,,,,,,,,
afe:3276,,nm:ar,,nm:denarius,117,138,,,,,,,,,,,,,,,,,
afe:3277,,nm:ar,nm:rome,nm:denarius,128,138,,,3.11,,,,,,,,,,,,,,
afe:3278,,nm:ar,nm:rome,nm:denarius,128,138,,,,,,,,,,,,,,,,,
afe:3279,,nm:ar,nm:rome,nm:denarius,137,138,,,3.43,,,,,,,,,,,,,,
afe:3280,,nm:ar,nm:rome,nm:denarius,138,138,,,2.76,,,,,,,,,,,,,,
afe:3281,,nm:ar,nm:rome,nm:denarius,147,148,,,3.03,,,,,,,,,,,,,,
afe:3282,,nm:ar,nm:rome,nm:denarius,148,149,,,2.89,,,,,,,,,,,,,,
afe:3283,,nm:ar,nm:rome,nm:denarius,150,151,,,,,,,,,,,,,,,,,
afe:3284,,nm:ar,nm:rome,nm:denarius,152,153,,,2.46,,,,,,,,,,,,,,
afe:3285,,nm:ar,nm:rome,nm:denarius,152,153,,,2.9,,,,,,,,,,,,,,
afe:3286,,nm:ar,nm:rome,nm:denarius,152,153,,,2.99,,,,,,,,,,,,,,
afe:3287,,nm:ar,nm:rome,nm:denarius,153,154,,,3.07,,,,,,,,,,,,,,
afe:3288,,nm:ar,nm:rome,nm:denarius,155,156,,,3.47,,,,,,,,,,,,,,
afe:3289,,nm:ar,nm:rome,nm:denarius,156,157,,,3.29,,,,,,,,,,,,,,
afe:3290,,nm:ar,nm:rome,nm:denarius,156,157,,,3.48,,,,,,,,,,,,,,
afe:3291,,nm:ar,nm:rome,nm:denarius,159,160,,,2.64,,,,,,,,,,,,,,
afe:3292,,nm:ar,nm:rome,nm:denarius,159,160,,,2.16,,,,,,,,,,,,,,
afe:3293,,nm:ar,,nm:denarius,138,161,,,,,,,,,,,,,,,,,
afe:3294,,nm:ar,,nm:denarius,138,161,,,,,,,,,,,,,,,,,
afe:3295,,nm:ar,,nm:denarius,138,161,,,,,,,,,,,,,,,,,
afe:3296,,nm:ar,nm:rome,nm:denarius,141,161,,,3.03,,,,,,,,,,,,,,
afe:3297,,nm:ar,nm:rome,nm:denarius,141,161,,,3.1,,,,,,,,,,,,,,
afe:3298,,nm:ar,nm:rome,nm:denarius,141,161,,,2.92,,,,,,,,,,,,,,
afe:3299,,nm:ar,nm:rome,nm:denarius,148,149,,,3.26,,,,,,,,,,,,,,
afe:3300,,nm:ar,nm:rome,nm:denarius,157,158,,,3.0,,,,,,,,,,,,,,
afe:3301,,nm:ar,nm:rome,nm:denarius,147,161,,,2.87,,,,,,,,,,,,,,
afe:3302,,nm:ar,,nm:denarius,145,176,,,,,,,,,,,,,,,,,
afe:3303,,nm:ar,nm:rome,nm:denarius,162,163,,,2.55,,,,,,,,,,,,,,
afe:3304,,nm:ar,nm:rome,nm:denarius,162,163,,,2.99,,,,,,,,,,,,,,
afe:3305,,nm:ar,,nm:denarius,161,180,,,,,,,,,,,,,,,,,
afe:3306,,nm:ar,nm:rome,nm:denarius,161,180,,,2.5,,,,,,,,,,,,,,
afe:3307,,nm:ar,nm:rome,nm:denarius,161,162,,,2.71,,,,,,,,,,,,,,
afe:3308,,nm:ar,nm:rome,nm:denarius,161,169,,,,,,,,,,,,,,,,,
afe:3309,,nm:ar,nm:rome,nm:denarius,161,176,,,3.55,,,,,,,,,,,,,,
afe:3310,,nm:ar,nm:rome,nm:denarius,161,176,,,3.67,,,,,,,,,,,,,,
afe:3311,,nm:ar,nm:rome,nm:denarius,161,176,,,2.91,,,,,,,,,,,,,,
afe:3312,,nm:ar,nm:rome,nm:denarius,185,185,,,2.37,,,,,,,,,,,,,,
afe:3313,,nm:ar,nm:rome,nm:denarius,191,192,,,2.07,,,,,,,,,,,,,,
afe:3314,,nm:ar,,nm:denarius,180,192,,,,,,,,,,,,,,,,,
afe:3315,,nm:ar,,nm:denarius,1,199,,,,,,,,,,,,,,,,,
afe:3316,,nm:ar,,nm:denarius,-137,-91,,,,,,,,,,,,,,,,,
afe:3317,,nm:ar,,nm:denarius,-82,-81,,,,,,,,,,,,,,,,,
afe:3318,,nm:ar,,nm:denarius,,,,,,,,,,,,,,,,,,,
afe:3319,,nm:ar,,nm:denarius,103,111,,,,,,,,,,,,,,,,,
afe:3320,,nm:ar,nm:rome,nm:denarius,161,164,,,,,,,,,,,,,,,,,
afe:3321,,nm:ar,nm:rome,nm:denarius,98,99,,,,,,,,,,,,,,,,,
afe:3322,,nm:ar,nm:rome,nm:denarius,104,111,,,,,,,,,,,,,,,,,
afe:3323,,nm:ar,,nm:denarius,98,117,,,,,,,,,,,,,,,,,
afe:3324,,nm:ar,nm:rome,nm:denarius,119,122,,,,,,,,,,,,,,,,,
afe:3325,,nm:ar,nm:rome,nm:denarius,125,128,,,,,,,,,,,,,,,,,
afe:3326,,nm:ar,nm:rome,nm:denarius,140,143,,,,,,,,,,,,,,,,,
afe:3327,,nm:ar,nm:rome,nm:denarius,151,152,,,,,,,,,,,,,,,,,
afe:3328,,nm:ar,nm:rome,nm:denarius,141,161,,,,,,,,,,,,,,,,,
afe:3329,,nm:ar,nm:rome,nm:denarius,141,161,,,,,,,,,,,,,,,,,
afe:3330,,nm:ar,nm:rome,nm:denarius,161,176,,,,,,,,,,,,,,,,,
afe:3331,,nm:ar,nm:rome,nm:denarius,161,180,,,,,,,,,,,,,,,,,
afe:3332,,nm:ar,,nm:denarius,196,217,,,,,,,,,,,,,,,,,
afe:3335,,nm:ar,,nm:denarius,69,69,,,,,,,,,,,,,,,,,
afe:3336,,nm:ar,,nm:denarius,69,79,,,,,,,,,,,,,,,,,
afe:3337,,nm:ar,,nm:denarius,81,96,,,,,,,,,,,,,,,,,
afe:3338,,nm:ar,,nm:denarius,96,98,,,,,,,,,,,,,,,,,
afe:3339,,nm:ar,,nm:denarius,98,117,,,,,,,,,,,,,,,,,
afe:3340,,nm:ar,,nm:denarius,117,138,,,,,,,,,,,,,,,,,
afe:3341,,nm:ar,,nm:denarius,117,138,,,,,,,,,,,,,,,,,
