Coin^^uri,nmo:hasFindspot^^uri,nmo:hasMaterial^^uri**Ma,nmo:hasMint^^uri**Mi,nmo:hasDenomination^^uri**De,nmo:hasMintMark,nmo:hasCountermark,nmo:hasWeight**We,nmo:hasMinDiameter**DMi,nmo:hasMaxDiameter**DMa,nmo:hasDie^^blank**Di,Di__nmo:hasAxis,nmo:hasObverse^^blank**Ob,nmo:hasReverse^^blank**Re,Ob__rdfs:comment,Re__rdfs:comment,Ob__nmo:hasWear**WF,Re__nmo:hasWear**WB,Ob__nmo:hasCorrosion**CF,Re__nmo:hasCorrosion**CB,Ob__nmo:hasLegend,Re__nmo:hasLegend,Ma__hasCertainty^^certainty,Mi__hasCertainty^^certainty,De__hasCertainty^^certainty,We__hasCertainty^^certainty,DMi__hasCertainty^^certainty,DMa__hasCertainty^^certainty,Di__hasCertainty^^certainty,WF__hasCertainty^^certainty,WB__hasCertainty^^certainty,CF__hasCertainty^^certainty,CB__hasCertainty^^certainty
afe:15575,,nm:ar,nm:rome,nm:antoninianus,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15576,,nm:ae,nm:rome,nm:sestertius,,,10.19,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15577,,nm:ar,nm:rome,nm:denarius,,,1.37,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15578,,nm:ar,nm:rome,nm:denarius,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15579,,nm:ar,nm:rome,nm:denarius,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15580,,nm:ar,nm:rome,nm:denarius,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15581,,nm:ar,nm:rome,nm:denarius,,,2.68,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15582,,nm:ar,nm:rome,nm:denarius,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15583,,nm:ar,nm:rome,nm:denarius,,,2.78,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15584,,nm:ae,,nm:dupondius; nm:as,,,5.38,,,,,,,,,,,,,,,,,0.26; 0.73,,,,,,,,
afe:15585,,nm:ar,nm:rome,nm:denarius,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15586,,nm:ar,nm:rome,nm:denarius,,,1.89,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15587,,nm:ar,nm:rome,nm:denarius,,,2.63,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15588,,nm:ar,nm:rome,nm:denarius,,,2.92,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15589,,nm:ar,nm:rome,nm:denarius,,,1.97,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15590,,nm:ar,nm:rome,nm:denarius,,,2.88,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15591,,nm:ar,nm:rome,nm:denarius,,,2.83,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15592,,nm:ae,nm:rome,nm:sestertius,,,5.21,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15613,,nm:ae,nm:rome,nm:sestertius,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15661,,nm:ae,nm:rome; nm:lugdunum,nm:dupondius,,,8.1,,,,,,,,,,,,,,,,,,,,,,,,,
